configName      Platooning
iniFile         omnetpp.ini
processID       8568
runID           Platooning-0-20191231-13:08:56-8568
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:08:56.633
endDateTime     2019-12-31 13:09:12.633
duration        0 hour, 0 minute, 15 second


index     timeStamp   vehid               lane                lanepos             speed               accel               timegapsetting      timegap             drivingdistance     


1         0.00        stopped             1to2_1              711.00              0.00                0.00                1.64                -1.00               0.00                
1         0.00        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.1               1to2_0              87.90               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.2               1to2_0              80.80               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.3               1to2_0              73.70               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.4               1to2_0              66.60               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1                1to2_2              100.00              0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.1              1to2_2              92.90               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.2              1to2_2              85.80               0.00                0.00                0.55                -1.00               0.00                

2         0.10        stopped             1to2_1              711.00              0.00                0.00                1.64                -1.00               0.00                
2         0.10        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
2         0.10        veh.1               1to2_0              87.90               0.01                0.10                0.55                205.78              0.00                
2         0.10        veh.2               1to2_0              80.80               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh.3               1to2_0              73.70               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh.4               1to2_0              66.60               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1                1to2_2              100.00              0.00                0.00                0.55                -1.00               0.00                
2         0.10        veh1.1              1to2_2              92.90               0.01                0.10                0.55                205.78              0.00                
2         0.10        veh1.2              1to2_2              85.80               0.01                0.10                0.55                205.88              0.00                

3         0.20        stopped             1to2_1              711.00              0.00                0.00                1.64                -1.00               0.00                
3         0.20        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
3         0.20        veh.1               1to2_0              87.90               0.03                0.17                0.55                77.29               0.00                
3         0.20        veh.2               1to2_0              80.80               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh.3               1to2_0              73.70               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh.4               1to2_0              66.60               0.03                0.17                0.55                76.43               0.00                
3         0.20        veh1                1to2_2              100.00              0.00                0.00                0.55                -1.00               0.00                
3         0.20        veh1.1              1to2_2              92.90               0.03                0.17                0.55                77.29               0.00                
3         0.20        veh1.2              1to2_2              85.80               0.03                0.19                0.55                72.01               0.00                

4         0.30        stopped             1to2_1              711.00              0.00                0.00                1.64                -1.00               0.00                
4         0.30        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
4         0.30        veh.1               1to2_0              87.91               0.05                0.20                0.55                44.09               0.01                
4         0.30        veh.2               1to2_0              80.81               0.05                0.26                0.55                38.40               0.01                
4         0.30        veh.3               1to2_0              73.71               0.06                0.26                0.55                38.13               0.01                
4         0.30        veh.4               1to2_0              66.61               0.04                0.13                3.50                51.40               0.01                
