configName      Platooning
iniFile         omnetpp.ini
processID       14608
runID           Platooning-0-20200102-11:03:16-14608
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2020-01-02 11:03:16.737
endDateTime     2020-01-02 11:03:31.737
duration        0 hour, 0 minute, 15 second


index     timeStamp   vehid               lane                lanepos             speed               accel               timegapsetting      timegap             drivingdistance     


1         0.00        stopped             1to2_0              954.00              0.00                0.00                1.64                -1.00               0.00                
1         0.00        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.1               1to2_0              87.90               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.2               1to2_0              80.80               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1                1to2_1              100.00              0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.1              1to2_1              92.90               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.2              1to2_1              85.80               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.3              1to2_1              78.70               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.4              1to2_1              71.60               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.5              1to2_1              64.50               0.00                0.00                0.55                -1.00               0.00                

2         0.10        stopped             1to2_0              954.00              0.00                0.00                1.64                -1.00               0.00                
2         0.10        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
2         0.10        veh.1               1to2_0              87.90               0.01                0.10                0.55                205.78              0.00                
2         0.10        veh.2               1to2_0              80.80               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1                1to2_1              100.00              0.00                0.00                0.55                -1.00               0.00                
2         0.10        veh1.1              1to2_1              92.90               0.01                0.10                0.55                205.78              0.00                
2         0.10        veh1.2              1to2_1              85.80               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1.3              1to2_1              78.70               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1.4              1to2_1              71.60               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1.5              1to2_1              64.50               0.01                0.10                0.55                205.88              0.00                

3         0.20        stopped             1to2_0              954.00              0.00                0.00                1.64                -1.00               0.00                
3         0.20        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
3         0.20        veh.1               1to2_0              87.90               0.03                0.17                0.55                77.29               0.00                
3         0.20        veh.2               1to2_0              80.80               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh1                1to2_1              100.00              0.00                0.00                0.55                -1.00               0.00                
3         0.20        veh1.1              1to2_1              92.90               0.03                0.17                0.55                77.29               0.00                
3         0.20        veh1.2              1to2_1              85.80               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh1.3              1to2_1              78.70               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh1.4              1to2_1              71.60               0.03                0.17                0.55                76.43               0.00                
3         0.20        veh1.5              1to2_1              64.50               0.03                0.19                0.55                72.01               0.00                

4         0.30        stopped             1to2_0              954.00              0.00                0.00                1.64                -1.00               0.00                
4         0.30        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
4         0.30        veh.1               1to2_0              87.91               0.05                0.20                0.55                44.09               0.01                
