configName      Platooning
iniFile         omnetpp.ini
processID       3650
runID           Platooning-0-20191231-13:20:15-3650
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:20:15.059
endDateTime     2019-12-31 13:20:32.059
duration        0 hour, 0 minute, 17 second


index     timeStamp   vehid               emissionclass       co2                 co                  hc                  nox                 


1         -0.10       stopped             HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh                 HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh.1               HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh.2               HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh.3               HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1                HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.1              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.2              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.3              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.4              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
1         -0.10       veh1.5              HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                

2         0.00        stopped             HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
2         0.00        veh                 HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
2         0.00        veh.1               HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh.2               HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh.3               HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1                HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
2         0.00        veh1.1              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1.2              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1.3              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1.4              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                
2         0.00        veh1.5              HBEFA3/PC_G_EU4     2623.67             164.58              0.81                1.20                

3         0.10        stopped             HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
3         0.10        veh                 HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
3         0.10        veh.1               HBEFA3/PC_G_EU4     2622.41             164.25              0.81                1.20                
3         0.10        veh.2               HBEFA3/PC_G_EU4     2622.39             164.21              0.81                1.20                
3         0.10        veh.3               HBEFA3/PC_G_EU4     2622.39             164.21              0.81                1.20                
3         0.10        veh1                HBEFA3/PC_G_EU4     2624.72             164.78              0.81                1.20                
3         0.10        veh1.1              HBEFA3/PC_G_EU4     2622.41             164.25              0.81                1.20                
3         0.10        veh1.2              HBEFA3/PC_G_EU4     2622.39             164.21              0.81                1.20                
3         0.10        veh1.3              HBEFA3/PC_G_EU4     2622.39             164.21              0.81                1.20                
