configName      Platooning
iniFile         omnetpp.ini
processID       3871
runID           Platooning-0-20191231-13:24:17-3871
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:24:17.716
endDateTime     2019-12-31 13:24:33.716
duration        0 hour, 0 minute, 15 second


index     timeStamp   vehid               lane                lanepos             speed               accel               timegapsetting      timegap             drivingdistance     


1         0.00        stopped             1to2_2              974.00              0.00                0.00                1.64                -1.00               0.00                
1         0.00        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.1               1to2_0              90.90               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh.2               1to2_0              78.80               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1                1to2_2              100.00              0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.1              1to2_2              92.90               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.2              1to2_2              85.80               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.3              1to2_2              78.70               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.4              1to2_2              71.60               0.00                0.00                0.55                -1.00               0.00                
1         0.00        veh1.5              1to2_2              64.50               0.00                0.00                0.55                -1.00               0.00                

2         0.10        stopped             1to2_2              974.00              0.00                0.00                1.64                -1.00               0.00                
2         0.10        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
2         0.10        veh.1               1to2_0              90.90               0.01                0.10                0.55                401.86              0.00                
2         0.10        veh.2               1to2_0              78.80               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1                1to2_2              100.00              0.00                0.00                0.55                -1.00               0.00                
2         0.10        veh1.1              1to2_2              92.90               0.01                0.10                0.55                205.78              0.00                
2         0.10        veh1.2              1to2_2              85.80               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1.3              1to2_2              78.70               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1.4              1to2_2              71.60               0.01                0.10                0.55                205.88              0.00                
2         0.10        veh1.5              1to2_2              64.50               0.01                0.10                0.55                205.88              0.00                

3         0.20        stopped             1to2_2              974.00              0.00                0.00                1.64                -1.00               0.00                
3         0.20        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
3         0.20        veh.1               1to2_0              90.90               0.03                0.17                0.55                151.04              0.00                
3         0.20        veh.2               1to2_0              78.80               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh1                1to2_2              100.00              0.00                0.00                0.55                -1.00               0.00                
3         0.20        veh1.1              1to2_2              92.90               0.03                0.17                0.55                77.29               0.00                
3         0.20        veh1.2              1to2_2              85.80               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh1.3              1to2_2              78.70               0.03                0.19                0.55                72.01               0.00                
3         0.20        veh1.4              1to2_2              71.60               0.03                0.17                0.55                76.43               0.00                
3         0.20        veh1.5              1to2_2              64.50               0.03                0.19                0.55                72.01               0.00                

4         0.30        stopped             1to2_2              974.00              0.00                0.00                1.64                -1.00               0.00                
4         0.30        veh                 1to2_0              100.00              0.00                0.00                0.55                -1.00               0.00                
4         0.30        veh.1               1to2_0              90.91               0.05                0.20                0.55                86.25               0.01                
