configName      Platooning
iniFile         omnetpp.ini
processID       8219
runID           Platooning-0-20191231-13:03:02-8219
totalRun        1
currentRun      0
currentConfig   Platooning
sim timeStep    100 ms
startDateTime   2019-12-31 13:03:02.410
endDateTime     2019-12-31 13:03:17.410
duration        0 hour, 0 minute, 14 second


index          timestamp      vehId          pltMode        pltId          pltDepth       pltSize        pltOptSize     pltMaxSize     


1              0.00           veh            3              veh            0              4              4              10             
1              0.00           veh.1          3              veh            1              -              -              -              
1              0.00           veh.2          3              veh            2              -              -              -              
1              0.00           veh.3          3              veh            3              -              -              -              

2              0.00           veh1           3              veh1           0              5              4              10             
2              0.00           veh1.1         3              veh1           1              -              -              -              
2              0.00           veh1.2         3              veh1           2              -              -              -              
2              0.00           veh1.3         3              veh1           3              -              -              -              
2              0.00           veh1.4         3              veh1           4              -              -              -              

3              0.10           veh            3              veh            0              4              4              10             
3              0.10           veh.1          3              veh            1              -              -              -              
3              0.10           veh.2          3              veh            2              -              -              -              
3              0.10           veh.3          3              veh            3              -              -              -              

4              0.20           veh            3              veh            0              4              4              10             
4              0.20           veh.1          3              veh            1              -              -              -              
4              0.20           veh.2          3              veh            2              -              -              -              
4              0.20           veh.3          3              veh            3              -              -              -              

5              0.20           veh1           3              veh1           0              4              4              10             
5              0.20           veh1.1         3              veh1           1              -              -              -              
5              0.20           veh1.2         3              veh1           2              -              -              -              
5              0.20           veh1.3         3              veh1           3              -              -              -              

6              0.30           veh            3              veh            0              4              4              10             
6              0.30           veh.1          3              veh            1              -              -              -              
6              0.30           veh.2          3              veh            2              -              -              -              
6              0.30           veh.3          3              veh            3              -              -              -              

7              0.30           veh1           3              veh1           0              4              4              10             
7              0.30           veh1.1         3              veh1           1              -              -              -              
7              0.30           veh1.2         3              veh1           2              -              -              -              
7              0.30           veh1.3         3              veh1           3              -              -              -              

8              0.30           veh1.4         3              veh1.4         0              1              4              10             

9              0.40           veh            3              veh            0              4              4              10             
9              0.40           veh.1          3              veh            1              -              -              -              
9              0.40           veh.2          3              veh            2              -              -              -              
9              0.40           veh.3          3              veh            3              -              -              -              

10             0.40           veh1           3              veh1           0              4              4              10             
10             0.40           veh1.1         3              veh1           1              -              -              -              
10             0.40           veh1.2         3              veh1           2              -              -              -              
10             0.40           veh1.3         3              veh1           3              -              -              -              

11             0.40           veh1.4         3              veh1.4         0              1              4              10             

12             0.50           veh            3              veh            0              4              4              10             
12             0.50           veh.1          3              veh            1              -              -              -              
12             0.50           veh.2          3              veh            2              -              -              -              
12             0.50           veh.3          3              veh            3              -              -              -              

13             0.50           veh1           3              veh1           0              4              4              10             
13             0.50           veh1.1         3              veh1           1              -              -              -              
13             0.50           veh1.2         3              veh1           2              -              -              -              
13             0.50           veh1.3         3              veh1           3              -              -              -              

14             0.50           veh1.4         3              veh1.4         0              1              4              10             

15             0.60           veh            3              veh            0              4              4              10             
15             0.60           veh.1          3              veh            1              -              -              -              
15             0.60           veh.2          3              veh            2              -              -              -              
15             0.60           veh.3          3              veh            3              -              -              -              

16             0.60           veh1           3              veh1           0              4              4              10             
16             0.60           veh1.1         3              veh1           1              -              -              -              
